x,y,worn,timestamp_unix_seconds
411.8206787109375,536.498779296875,False,1718200980.8937232
426.4771728515625,538.6468505859375,False,1718200980.921801
426.12225341796875,545.6610107421875,False,1718200980.9537344
424.9862060546875,543.0816650390625,False,1718200980.9937344
422.50506591796875,546.486083984375,False,1718200981.0337455
410.6532287597656,544.3676147460938,False,1718200981.0497344
401.49090576171875,548.2220458984375,False,1718200981.0897565
401.3802795410156,541.63623046875,False,1718200981.1137345
413.6418151855469,538.724853515625,False,1718200981.1537232
418.4400634765625,540.6500244140625,False,1718200981.1897345
417.91156005859375,539.1554565429688,False,1718200981.2217677
409.1936950683594,530.4776000976562,False,1718200981.2497232
416.10369873046875,535.074462890625,False,1718200981.3017566
409.2828063964844,537.473876953125,False,1718200981.3217123
410.411376953125,542.4187622070312,False,1718200981.36179
422.2782287597656,546.94921875,False,1718200981.3977232
419.8741149902344,550.12890625,False,1718200981.4137344
400.9090576171875,541.6295166015625,False,1718200981.4537232
407.4036560058594,540.851806640625,False,1718200981.4897232
421.56170654296875,548.6176147460938,False,1718200981.5257344
412.402099609375,547.2955932617188,False,1718200981.5497231
410.17010498046875,543.6173706054688,False,1718200981.5857344
416.5870056152344,542.052490234375,False,1718200981.61779
417.5403137207031,541.4650268554688,False,1718200981.6537344
408.6975402832031,538.7413330078125,False,1718200981.6937232
422.1051940917969,539.2948608398438,False,1718200981.72579
426.0669860839844,541.923828125,False,1718200981.7535667
414.3250427246094,544.6329345703125,False,1718200981.797567
424.17218017578125,546.5208129882812,False,1718200981.825578
425.5396423339844,549.24658203125,False,1718200981.853567
420.38323974609375,550.3252563476562,False,1718200981.889567
425.80328369140625,548.716064453125,False,1718200981.9255114
421.1911315917969,549.195068359375,False,1718200981.9535892
431.2933349609375,543.487060546875,False,1718200981.989578
428.0052185058594,544.0097045898438,False,1718200982.0255668
426.3534851074219,541.3917846679688,False,1718200982.0536559
429.48919677734375,543.5437622070312,False,1718200982.0856001
416.6658935546875,543.1366577148438,False,1718200982.1175668
428.4383544921875,549.661865234375,False,1718200982.153678
415.10723876953125,554.705810546875,False,1718200982.185567
417.6305847167969,543.05908203125,False,1718200982.2135892
424.0590515136719,540.3515014648438,False,1718200982.2496336
